DATA;DIA;LOCAL
15-ago-2025;Quarta-feira;Chegada em Paris
16-ago-2025;Quinta-feira;Paris: Torre Eiffel
17-ago-2025;Sexta-feira;Paris: Louvre & Marais
18-ago-2025;Sábado;Paris: Versalhes & Montmartre
19-ago-2025;Domingo;Viagem Paris-Lyon
20-ago-2025;Segunda-feira;Lyon: Vieux Lyon & Fourvière
21-ago-2025;Terça-feira;Lyon: Gastronomia & Museus
22-ago-2025;Quarta-feira;Viagem Lyon-Nice
23-ago-2025;Quinta-feira;Nice: Promenade & Casco Antigo
24-ago-2025;Sexta-feira;Nice: Eze & Mônaco
25-ago-2025;Sábado;Viagem Nice-Avignon
26-ago-2025;Domingo;Avignon: Cidade Medieval
27-ago-2025;Segunda-feira;Viagem Avignon-Paris
28-ago-2025;Terça-feira;Paris: Compras & Relax
29-ago-2025;Quarta-feira;Paris: Passeios livres
30-ago-2025;Quinta-feira;Partida de Paris
