DATA;DIA;LOCAL
15-ago-2025;Quarta-feira;Chegada em Paris
16-ago-2025;Quinta-feira;Paris
17-ago-2025;Sexta-feira;Paris
18-ago-2025;Sábado;Paris
19-ago-2025;Domingo;Trem para Nice
20-ago-2025;Segunda-feira;Nice
21-ago-2025;Terça-feira;Nice
22-ago-2025;Quarta-feira;Trem para Avignon
23-ago-2025;Quinta-feira;Avignon
24-ago-2025;Sexta-feira;Avignon/Provence
25-ago-2025;Sábado;Trem para Lyon
26-ago-2025;Domingo;Lyon
27-ago-2025;Segunda-feira;Lyon
28-ago-2025;Terça-feira;Trem para Paris
29-ago-2025;Quarta-feira;Paris
30-ago-2025;Quinta-feira;Partida de Paris
