DATA;DIA;LOCAL
20-ago-2025;Segunda-feira;Chegada em Paris
21-ago-2025;Terça-feira;Paris: Torre Eiffel
22-ago-2025;Quarta-feira;Paris: Louvre & Marais
23-ago-2025;Quinta-feira;Paris: Montmartre & Sacré-Cœur
24-ago-2025;Sexta-feira;Trem para Lyon
25-ago-2025;Sábado;Lyon: Vieux Lyon & Fourvière
26-ago-2025;Domingo;Lyon: Gastronomia & Museus
27-ago-2025;Segunda-feira;Trem para Nice
28-ago-2025;Terça-feira;Nice: Praia & Promenade
29-ago-2025;Quarta-feira;Nice: Eze & Mônaco
30-ago-2025;Quinta-feira;Partida de Nice
